Id,Label,timeset,degree,modularity_class,vote_average0
239,239,,0,30,7.0
240,240,,0,31,6.0
241,241,,2,1162,6.0
242,242,,1,604,4.0
243,243,,2,505,6.0
244,244,,2,619,6.0
245,245,,4,928,6.0
246,246,,1,161,7.0
247,247,,12,64,6.0
248,248,,1,98,7.0
249,249,,4,66,6.0
250,250,,10,779,7.0
251,251,,5,1079,5.0
252,252,,0,32,6.0
253,253,,1,939,6.0
254,254,,1,33,6.0
255,255,,1,1012,6.0
256,256,,4,66,6.0
257,257,,4,928,7.0
258,258,,1,33,6.0
259,259,,1,1079,4.0
260,260,,1,499,7.0
261,261,,1,993,6.0
262,262,,6,779,8.0
263,263,,0,34,6.0
264,264,,3,98,7.0
265,265,,0,35,5.0
266,266,,2,949,7.0
267,267,,3,1041,7.0
268,268,,2,668,6.0
269,269,,1,909,7.0
270,270,,2,64,8.0
271,271,,3,1079,7.0
272,272,,2,1195,4.0
273,273,,3,1246,6.0
274,274,,0,36,8.0
275,275,,2,993,7.0
276,276,,7,1041,7.0
277,277,,5,855,7.0
278,278,,0,37,6.0
279,279,,2,505,8.0
280,280,,4,25,7.0
281,281,,5,139,7.0
282,282,,2,505,7.0
283,283,,7,64,6.0
284,284,,17,505,5.0
285,285,,9,1246,6.0
286,286,,2,1195,6.0
287,287,,6,139,8.0
288,288,,0,38,7.0
289,289,,1,98,7.0
290,290,,5,1103,6.0
291,291,,1,98,6.0
292,292,,3,1103,5.0
293,293,,6,499,6.0
294,294,,1,505,6.0
295,295,,3,98,6.0
296,296,,1,25,6.0
297,297,,0,39,7.0
298,298,,1,505,8.0
299,299,,3,139,5.0
300,300,,2,40,7.0
301,301,,1,855,7.0
302,302,,0,41,7.0
303,303,,0,42,4.0
304,304,,0,43,6.0
305,305,,0,44,7.0
306,306,,1,1195,5.0
307,307,,3,1103,6.0
308,308,,1,219,6.0
309,309,,1,949,4.0
310,310,,2,855,7.0
311,311,,4,505,4.0
312,312,,1,505,6.0
313,313,,0,45,7.0
314,314,,1,46,7.0
315,315,,2,1103,6.0
316,316,,7,1041,7.0
317,317,,0,47,7.0
318,318,,1,48,6.0
319,319,,1,252,5.0
320,320,,4,855,7.0
321,321,,4,499,6.0
322,322,,2,1246,7.0
323,323,,0,49,5.0
324,324,,2,671,7.0
325,325,,5,864,6.0
326,326,,0,50,7.0
327,327,,2,864,7.0
328,328,,1,864,8.0
329,329,,4,779,8.0
330,330,,3,779,8.0
331,331,,3,928,5.0
332,332,,1,499,6.0
333,333,,6,98,6.0
334,334,,2,1166,6.0
335,335,,1,499,7.0
336,336,,0,51,6.0
337,337,,4,993,5.0
338,338,,2,1166,6.0
339,339,,0,52,7.0
340,340,,1,909,6.0
341,341,,4,928,6.0
342,342,,3,928,7.0
343,343,,4,1166,7.0
344,344,,2,98,6.0
345,345,,1,53,6.0
346,346,,2,505,6.0
347,347,,5,1195,7.0
348,348,,4,864,7.0
349,349,,3,499,7.0
350,350,,8,505,6.0
351,351,,2,1079,8.0
352,352,,3,1162,8.0
353,353,,9,505,7.0
354,354,,1,54,7.0
355,355,,3,993,7.0
356,356,,2,604,7.0
