Id,Label,timeset,degree,modularity_class,vote_average0
3726,3726,,1,425,7.0
3727,3727,,2,267,7.0
3728,3728,,3,264,7.0
3729,3729,,3,264,7.0
3730,3730,,0,954,6.0
3731,3731,,6,445,6.0
3732,3732,,0,955,7.0
3733,3733,,3,293,6.0
3734,3734,,6,264,7.0
3735,3735,,3,519,6.0
3736,3736,,4,134,5.0
3737,3737,,4,134,8.0
3738,3738,,1,842,7.0
3739,3739,,21,379,8.0
3740,3740,,0,956,7.0
3741,3741,,4,227,7.0
3742,3742,,2,325,5.0
3743,3743,,1,973,7.0
3744,3744,,0,957,5.0
3745,3745,,3,414,7.0
3746,3746,,9,445,4.0
3747,3747,,1,613,6.0
3748,3748,,0,958,7.0
3749,3749,,7,311,7.0
3750,3750,,7,181,8.0
3751,3751,,0,959,6.0
3752,3752,,0,960,4.0
3753,3753,,7,1039,8.0
3754,3754,,21,379,6.0
3755,3755,,1,961,5.0
3756,3756,,1,961,6.0
3757,3757,,8,411,7.0
3758,3758,,1,187,7.0
3759,3759,,1,962,6.0
3760,3760,,0,963,5.0
3761,3761,,1,325,7.0
3762,3762,,2,1090,5.0
3763,3763,,1,1227,6.0
3764,3764,,10,414,6.0
3765,3765,,1,657,6.0
3766,3766,,9,325,7.0
3767,3767,,3,227,7.0
3768,3768,,0,964,3.0
3769,3769,,7,493,7.0
3770,3770,,2,965,7.0
3771,3771,,0,966,5.0
3772,3772,,6,318,6.0
3773,3773,,1,199,6.0
3774,3774,,5,160,6.0
3775,3775,,0,967,7.0
3776,3776,,0,968,8.0
3777,3777,,0,969,5.0
3778,3778,,0,970,7.0
3779,3779,,0,971,6.0
3780,3780,,0,972,7.0
3781,3781,,1,973,5.0
3782,3782,,0,974,7.0
3783,3783,,3,325,7.0
3784,3784,,0,975,7.0
3785,3785,,9,229,7.0
3786,3786,,0,976,6.0
3787,3787,,1,236,6.0
3788,3788,,0,977,8.0
3789,3789,,1,642,7.0
3790,3790,,6,187,6.0
3791,3791,,1,522,5.0
3792,3792,,1,287,6.0
3793,3793,,0,978,4.0
3794,3794,,1,979,7.0
3795,3795,,1,1397,6.0
3796,3796,,2,314,7.0
3797,3797,,0,980,6.0
3798,3798,,0,981,6.0
3799,3799,,1,694,6.0
3800,3800,,4,325,6.0
3801,3801,,0,982,7.0
3802,3802,,0,983,7.0
3803,3803,,0,984,5.0
3804,3804,,0,985,6.0
3805,3805,,3,1643,6.0
3806,3806,,1,351,5.0
3807,3807,,0,986,7.0
3808,3808,,1,749,4.0
3809,3809,,0,987,5.0
3810,3810,,0,988,4.0
3811,3811,,6,493,8.0
3812,3812,,1,574,8.0
3813,3813,,2,1082,8.0
3814,3814,,0,989,7.0
3815,3815,,1,134,6.0
3816,3816,,2,1112,7.0
3817,3817,,0,990,7.0
3818,3818,,0,991,7.0
3819,3819,,0,992,7.0
3820,3820,,0,993,7.0
3821,3821,,0,994,6.0
3822,3822,,5,308,7.0
3823,3823,,7,224,7.0
3824,3824,,4,264,7.0
3825,3825,,10,181,7.0
3826,3826,,0,995,5.0
3827,3827,,6,180,7.0
3828,3828,,3,267,7.0
3829,3829,,0,996,6.0
3830,3830,,9,134,7.0
3831,3831,,3,1195,7.0
3832,3832,,4,493,7.0
3833,3833,,1,134,6.0
