,0
532,6.0
533,6.0
534,6.0
535,6.0
536,6.0
537,6.0
538,6.0
539,6.0
540,5.0
541,6.0
542,6.0
543,4.0
544,6.0
545,7.0
546,6.0
547,6.0
548,6.0
549,6.0
550,6.0
551,5.0
552,6.0
553,7.0
554,6.0
555,5.0
556,8.0
557,7.0
558,7.0
559,7.0
560,5.0
561,7.0
562,6.0
563,5.0
564,6.0
565,7.0
566,7.0
567,6.0
568,6.0
569,6.0
570,6.0
571,8.0
572,7.0
573,7.0
574,6.0
575,7.0
576,5.0
577,6.0
578,5.0
579,7.0
580,6.0
581,6.0
582,6.0
583,8.0
584,6.0
585,7.0
586,6.0
587,7.0
588,6.0
589,6.0
590,6.0
591,7.0
592,7.0
593,5.0
594,5.0
595,5.0
596,5.0
597,6.0
598,6.0
599,6.0
600,6.0
601,3.0
602,4.0
603,6.0
604,6.0
605,6.0
606,5.0
607,6.0
608,5.0
609,7.0
610,4.0
611,6.0
612,6.0
613,7.0
614,7.0
615,5.0
616,6.0
617,7.0
618,6.0
619,5.0
620,7.0
621,6.0
622,7.0
623,6.0
624,6.0
625,6.0
626,7.0
627,5.0
628,8.0
629,6.0
630,6.0
631,7.0
632,5.0
633,7.0
634,8.0
635,7.0
636,6.0
637,7.0
638,6.0
639,7.0
640,6.0
641,6.0
642,7.0
643,6.0
644,6.0
645,6.0
646,6.0
647,6.0
648,7.0
649,6.0
650,7.0
651,6.0
652,7.0
653,6.0
654,6.0
655,6.0
656,6.0
657,6.0
658,6.0
659,7.0
660,6.0
661,6.0
662,8.0
663,7.0
664,5.0
665,5.0
666,5.0
667,7.0
668,5.0
669,6.0
670,5.0
671,7.0
672,7.0
673,6.0
674,6.0
675,8.0
676,7.0
677,6.0
678,6.0
679,5.0
680,6.0
681,7.0
682,4.0
683,6.0
684,8.0
685,6.0
686,6.0
687,7.0
688,6.0
689,7.0
690,8.0
691,6.0
692,6.0
693,8.0
694,7.0
695,7.0
696,6.0
697,8.0
698,7.0
699,6.0
700,7.0
701,5.0
702,7.0
703,6.0
704,6.0
705,5.0
706,6.0
707,6.0
708,6.0
709,6.0
710,7.0
711,7.0
712,7.0
713,7.0
714,7.0
715,5.0
716,6.0
717,6.0
718,6.0
719,7.0
720,6.0
721,4.0
722,7.0
723,5.0
724,7.0
725,5.0
726,6.0
727,6.0
728,7.0
729,6.0
730,7.0
731,6.0
732,6.0
733,6.0
734,6.0
735,5.0
736,6.0
737,6.0
738,6.0
739,6.0
740,6.0
741,7.0
742,7.0
743,6.0
744,8.0
745,5.0
746,6.0
747,6.0
748,5.0
749,7.0
750,7.0
751,6.0
752,5.0
753,6.0
754,6.0
755,6.0
756,6.0
757,7.0
758,6.0
759,6.0
760,6.0
761,6.0
762,6.0
763,7.0
764,6.0
765,7.0
766,5.0
767,5.0
768,5.0
769,7.0
770,7.0
771,6.0
772,6.0
773,6.0
774,7.0
775,5.0
776,6.0
777,6.0
778,5.0
779,5.0
780,6.0
781,6.0
782,5.0
783,5.0
784,4.0
785,7.0
786,6.0
787,7.0
788,7.0
789,5.0
790,7.0
791,6.0
792,7.0
793,4.0
794,6.0
795,6.0
796,5.0
797,5.0
798,6.0
799,6.0
800,6.0
801,7.0
802,6.0
803,6.0
804,6.0
805,5.0
806,6.0
807,6.0
808,6.0
